iter	Logloss
154	0.5064800177
155	0.5060288502
156	0.5053352938
157	0.5049466394
158	0.5042739937
159	0.5038745555
160	0.5033697975
161	0.5028868808
162	0.5022966736
163	0.5015779367
164	0.5011008772
165	0.500641006
166	0.5001447327
167	0.4995931172
168	0.4990800387
169	0.4986954351
170	0.4982771117
171	0.4978656854
172	0.4974756626
173	0.4969583144
174	0.4964170447
175	0.4959265739
176	0.4953913804
177	0.494963368
178	0.4945442781
179	0.4941166489
180	0.4935665661
181	0.4933009126
182	0.4927816485
183	0.4925096452
184	0.4918747701
185	0.4913446674
186	0.4909154507
187	0.490407901
188	0.4899895775
189	0.4895831326
190	0.4892234905
191	0.4887251371
192	0.4882285353
193	0.4877877137
194	0.4875060214
195	0.487083483
196	0.4865694191
197	0.4860168183
198	0.4853892237
199	0.48500358
200	0.4847385834
201	0.4843567168
202	0.4841438875
203	0.4837673854
204	0.4833970143
205	0.483161851
206	0.4827019251
207	0.4823527383
208	0.4818421779
209	0.4813832373
210	0.4808987331
211	0.4803821512
212	0.4800602797
213	0.4795089927
214	0.4790935157
215	0.4787889968
216	0.4782400636
217	0.4778291848
218	0.4774201671
219	0.4771945286
220	0.4767743987
221	0.4763312233
222	0.4759837334
223	0.4756465347
224	0.4751967357
225	0.4749551679
226	0.4745247469
227	0.4740749479
228	0.4736480302
229	0.473207975
230	0.4728954093
231	0.4726730005
232	0.4721990064
233	0.4718887945
234	0.4716685205
235	0.4712477885
236	0.4706673797
237	0.4705071556
238	0.4702591832
239	0.4700860952
240	0.4698846518
241	0.4694796849
242	0.4690665617
243	0.4687347275
244	0.4683865808
245	0.4680867695
246	0.4676273363
247	0.4672684605
248	0.466846579
249	0.4664246427
250	0.466099432
251	0.4658196556
252	0.4654192869
253	0.465117286
254	0.4648704631
255	0.4645637546
256	0.4642525575
257	0.463790004
258	0.4635703322
259	0.4632042855
260	0.462860518
261	0.4625272605
262	0.4623065487
263	0.4620349285
264	0.4618648512
265	0.4615567195
266	0.4613886675
267	0.4611302397
268	0.4608230386
269	0.4606710254
270	0.4602177778
271	0.4599152296
272	0.4596226987
273	0.4594244303
274	0.4591415884
275	0.4589182764
276	0.4587308191
277	0.4585103535
278	0.4581398455
279	0.4576662893
280	0.4573490434
281	0.4571675527
282	0.4570512849
283	0.4567360369
284	0.4564838495
285	0.4561736376
286	0.4558814626
287	0.4556052717
288	0.4553465155
289	0.4550571596
290	0.4548912972
291	0.4545208165
292	0.4544131429
293	0.4542104952
294	0.4538158742
295	0.4535752917
296	0.4533208599
297	0.4529468211
298	0.4525935836
299	0.4523220182
300	0.4521132944
301	0.4519307637
302	0.4516193202
303	0.4513582922
304	0.4511807976
305	0.451035627
306	0.4508198965
307	0.4506414165
308	0.4503834814
309	0.4501588556
310	0.449873441
311	0.4495150032
312	0.4493357295
313	0.4491499965
314	0.4489304615
315	0.4486887568
316	0.4484893388
317	0.4482611276
318	0.4480692089
319	0.4478639064
320	0.4476201489
321	0.447427984
322	0.4472721664
323	0.4470311734
324	0.4468955823
325	0.4468217106
326	0.4466125762
327	0.4464138698
328	0.4462343772
329	0.4460232996
330	0.4457048219
331	0.4455580091
332	0.4453796113
333	0.4450611337
334	0.4449961299
335	0.4448255051
336	0.4446748332
337	0.4444827777
338	0.4443359922
339	0.4442163305
340	0.444069764
341	0.4438630929
342	0.4437402015
343	0.4435743665
344	0.4433263667
345	0.4430754657
346	0.4427810464
347	0.4425307749
348	0.4421657682
349	0.4420365817
350	0.4419516799
351	0.4416748047
352	0.4414416942
353	0.4411359984
354	0.4410051423
355	0.4407399541
356	0.4406387945
357	0.4405037508
358	0.4402719267
359	0.4400557582
360	0.4398941108
361	0.4398017644
362	0.4395528066
363	0.4394036947
364	0.4392530227
365	0.4390225945
366	0.4388356025
367	0.4387495238
368	0.4386374161
369	0.4385885059
370	0.4384246689
371	0.4382727106
372	0.4379728446
373	0.4378330385
374	0.4376008038
375	0.4373315375
376	0.43710412
377	0.4370030425
378	0.4368640575
379	0.4365938332
380	0.4364232632
381	0.4362639149
382	0.4360995032
383	0.4359615583
384	0.4359169999
385	0.43575746
386	0.4355342574
387	0.4354397214
388	0.4353731848
389	0.4351598628
390	0.435004839
391	0.434845436
392	0.4347188223
393	0.4345688619
394	0.4343777917
395	0.4341951242
396	0.4339634643
397	0.4338629889
398	0.4338238224
399	0.43358428
400	0.4333816323
401	0.4332811296
402	0.4332120476
403	0.4329948391
404	0.4328986882
405	0.4327216315
406	0.4325406062
407	0.4324497377
408	0.4321777891
409	0.4319956142
410	0.4318135488
411	0.4316496297
412	0.4315592813
413	0.4314446009
414	0.4313614781
415	0.4311943294
416	0.4309723311
417	0.4308812163
418	0.4306893798
419	0.4305614796
420	0.4303614321
421	0.4302787473
422	0.4300802599
423	0.4298981397
424	0.4298244049
425	0.4297081917
426	0.4295105254
427	0.429311518
428	0.4291166708
429	0.4289289671
430	0.428810537
431	0.42861881
432	0.428521318
433	0.4283598896
434	0.4281279833
435	0.4280444774
436	0.4279553058
437	0.4279119244
438	0.4277707224
439	0.4276857932
440	0.427522011
441	0.4274158153
442	0.4271905873
443	0.4271132944
444	0.4268358171
445	0.4267769168
446	0.4266927266
447	0.4266168295
448	0.4264651448
449	0.4263721688
450	0.4262677522
451	0.4259286102
452	0.4257767613
453	0.4257090479
454	0.4254591048
455	0.4253093087
456	0.4251713364
457	0.4250844092
458	0.4248099425
459	0.4246143016
460	0.4244252842
461	0.4242262768
462	0.4241483543
463	0.4239192398
464	0.4237901628
465	0.4236658208
466	0.4235688761
467	0.4233447704
468	0.4231996819
469	0.4230670193
470	0.4229770541
471	0.4228503582
472	0.422669415
473	0.4225197831
474	0.4224408479
475	0.4222546222
476	0.4221377249
477	0.4220936044
478	0.4220139302
479	0.4219160277
480	0.4218533777
481	0.4218162913
482	0.4216714765
483	0.421511006
484	0.4212470495
485	0.4211506797
486	0.4210531603
487	0.4209687785
488	0.4208888033
489	0.4206492061
490	0.4204809899
491	0.4203214774
492	0.4202510817
493	0.4201520569
494	0.4199643533
495	0.4199506956
496	0.419779414
497	0.4197330218
498	0.4196910909
499	0.4195759726
500	0.4194926856
501	0.4194605532
502	0.4193656887
503	0.4192296323
504	0.4191340562
505	0.4191005005
506	0.4189388258
507	0.4188443171
508	0.4186528638
509	0.418607019
510	0.4184754239
511	0.418436449
512	0.4182634431
513	0.4181745178
514	0.4179898797
515	0.4178694515
516	0.4177413598
517	0.4176615215
518	0.4175101652
519	0.4173152633
520	0.4172183186
521	0.417173815
522	0.41693534
523	0.416811299
524	0.416743695
525	0.4166636925
526	0.4165117341
527	0.4163648392
528	0.4162880936
529	0.4162558517
530	0.4160454583
531	0.4158563041
532	0.415772415
533	0.4156693121
534	0.4153865523
535	0.4153326881
536	0.4152636609
537	0.4151462161
538	0.4148695326
539	0.4147984252
540	0.4147315329
541	0.4144648394
542	0.4144050632
543	0.4143244038
544	0.414246755
545	0.4141853914
546	0.414051771
547	0.4140197754
548	0.4139194642
549	0.4136625145
550	0.4135610811
551	0.4134925466
552	0.4133989137
553	0.4132159451
554	0.4130546262
555	0.4129877338
556	0.4129532202
557	0.412840182
558	0.412630555
559	0.4126070989
560	0.4125201991
561	0.4124022343
562	0.4122066207
563	0.4121435328
564	0.4121168744
565	0.4120645429
566	0.4118907432
567	0.4117900215
568	0.4116140049
569	0.4114306531
570	0.4113653482
571	0.4112749177
572	0.4111716779
573	0.4111474281
574	0.4110485676
575	0.4109912821
576	0.4108495601
577	0.4107180471
578	0.4106192961
579	0.4104786142
580	0.4104316472
581	0.4103321298
582	0.4102170388
583	0.4101116369
584	0.4099652346
585	0.4098692479
586	0.4097052467
587	0.4096202628
588	0.409573679
589	0.4092958459
590	0.4092585953
591	0.4091143826
592	0.4090020834
593	0.4089480823
594	0.4087959597
595	0.4087042702
596	0.408676298
597	0.4085786144
598	0.4084318563
599	0.4083635955
600	0.4082733291
601	0.4081908085
602	0.4081334957
603	0.4080691214
604	0.4078740826
605	0.4078268966
606	0.4077659983
607	0.4077372051
608	0.4076849283
609	0.4076417384
610	0.4075696458
611	0.4074234351
612	0.4073373564
613	0.4072571348
614	0.407188874
615	0.4071103494
616	0.4070123647
617	0.4069391499
618	0.4068154921
619	0.4067075173
620	0.4066234366
621	0.4065804931
622	0.4064793608
623	0.4064083082
624	0.4063634761
625	0.4062960911
626	0.4062086713
627	0.4061643866
628	0.4061265612
629	0.4061011344
630	0.4060598057
631	0.4060546875
632	0.4058976383
633	0.4057555331
634	0.4056939506
635	0.4056043685
636	0.4055377498
637	0.4054805191
638	0.4054611685
639	0.4054073864
640	0.405280499
641	0.4052719595
642	0.4052229124
643	0.4051746317
644	0.4051052761
645	0.4050418323
646	0.4049043253
647	0.4048703318
648	0.4048301526
649	0.404690456
650	0.4045498835
651	0.404455019
652	0.4043529836
653	0.404217064
654	0.4041404827
655	0.404044715
656	0.4039839261
657	0.4039417489
658	0.4039336748
659	0.4038991338
660	0.4038207734
661	0.4037678672
662	0.4035788498
663	0.403506155
664	0.4034065828
665	0.4032869484
666	0.4032494241
667	0.4031246442
668	0.4030583814
669	0.4030039424
670	0.4029999464
671	0.4029105832
672	0.4028378884
673	0.4028040043
674	0.4026140564
675	0.4025813766
676	0.4025284429
677	0.4024963653
678	0.4023876515
679	0.4023224561
680	0.402178134
681	0.4021555811
682	0.4020798482
683	0.4020187583
684	0.4018339285
685	0.4018049984
686	0.4017822813
687	0.4015226766
688	0.4014777624
689	0.4014355305
690	0.4014010169
691	0.4013514497
692	0.401251905
693	0.4011530992
694	0.401059001
695	0.4010063958
696	0.4010024545
697	0.4009074258
698	0.4008836139
699	0.4007352684
700	0.4006070124
701	0.4005269277
702	0.4004107693
703	0.4003339143
704	0.4002945562
705	0.4001511099
706	0.4000963972
707	0.3999172878
708	0.3998211916
709	0.3997568447
710	0.3997082903
711	0.3996312984
712	0.3994604273
713	0.3993941371
714	0.3993477723
715	0.3992955777
716	0.3991942265
717	0.399103358
718	0.3990519571
719	0.3990315664
720	0.3988784037
721	0.3987988391
722	0.3986733475
723	0.3985136434
724	0.3983530361
725	0.3981533718
726	0.3980542102
727	0.3980320404
728	0.3979273775
729	0.3978956282
730	0.3978574744
731	0.3977926622
732	0.3977713683
733	0.3977159167
734	0.3975971307
735	0.3974993103
736	0.3973431643
737	0.3973181754
738	0.3972264311
739	0.3971470581
740	0.3969744079
741	0.3968508596
742	0.3968196578
743	0.3966614043
744	0.3965269628
745	0.3964021007
746	0.3963678608
747	0.3962907868
748	0.3962095252
749	0.3961587812
750	0.3961154818
751	0.3961068329
752	0.3960290199
753	0.3959048421
754	0.3958520179
755	0.3957241452
756	0.395656158
757	0.3956164168
758	0.3955321718
759	0.3954330376
760	0.3954052844
761	0.3953234754
762	0.3952868269
763	0.395227434
764	0.3951523032
765	0.3950592178
766	0.394981268
767	0.3948025691
768	0.3946195457
769	0.3944820387
770	0.394400996
771	0.3943528522
772	0.3942073531
773	0.3941627947
774	0.3941308539
775	0.394061772
776	0.3939541804
777	0.3939351035
778	0.3938740136
779	0.3938348197
780	0.3937629187
781	0.3937026772
782	0.3936588031
783	0.393589338
784	0.3934864267
785	0.3933439383
786	0.3932476779
787	0.3932322139
788	0.3932194321
789	0.3932088399
790	0.3931225695
791	0.3930118852
792	0.3928851346
793	0.3927604641
794	0.3927334225
795	0.3926689661
796	0.3926122828
797	0.3925185131
798	0.3924449425
799	0.3923707149
800	0.3923367214
801	0.3922958853
802	0.3921647281
803	0.3920573282
804	0.3919563875
805	0.3917601444
806	0.3916789102
807	0.3915944463
808	0.3914367128
809	0.3913694373
810	0.3913082106
811	0.3912657049
812	0.3912180811
813	0.3911782029
814	0.3911366553
815	0.3911049608
816	0.3910278868
817	0.3909633483
818	0.3908382672
819	0.3907885085
820	0.3907420342
821	0.3907135147
822	0.3905885979
823	0.3905043529
824	0.3903467563
825	0.3902674927
826	0.3901942505
827	0.3901703839
828	0.3901522102
829	0.3900790775
830	0.3900370919
831	0.3899423095
832	0.3897560017
833	0.3897219534
834	0.3896943097
835	0.3895998283
836	0.3895437198
837	0.3895207837
838	0.3895012415
839	0.3894040779
840	0.3893744362
841	0.3893631324
842	0.3893533065
843	0.3893123883
844	0.3891653018
845	0.3891534232
846	0.3890238809
847	0.3889854807
848	0.388754423
849	0.3886914446
850	0.3886531265
851	0.388552268
